THEREDDKING-2,,,,,,
A Motivational Times [AZ] till 2020,A[AZ],2018,LCM,0,,
REGION,AZ,,,,,
3,0,10,11,12,13,14
0,-1,-2,-3,1,2,3
50 FR,36.69,31.99,30.19,37.19,32.59,28.99
100 FR,1:21.09,1:09.89,1:04.49,1:21.69,1:11.29,1:03.69
200 FR,2:56.59,2:29.89,2:19.59,2:57.69,2:36.29,2:15.39
400 FR,6:14.79,5:16.29,4:54.49,6:22.49,5:25.29,4:48.89
800 FR,,11:13.99,10:21.79,,11:31.79,10:32.19
1500 FR,,22:20.29,20:03.69,,22:47.29,19:58.99
50 BK,43.09,37.39,,44.89,39.19,
100 BK,1:34.29,1:20.29,1:16.09,1:36.99,1:22.99,1:14.89
200 BK,,2:51.99,2:40.89,,3:05.09,2:38.29
50 BR,49.89,42.79,,51.99,44.09,
100 BR,1:47.69,1:31.99,1:24.89,1:50.29,1:36.29,1:23.99
200 BR,,3:14.89,3:02.69,,3:24.59,3:00.89
50 FL,41.89,35.89,,43.89,35.99,
100 FL,1:38.99,1:20.79,1:12.79,1:44.19,1:21.99,1:11.99
200 FL,,3:10.69,2:44.09,,3:09.19,2:46.69
200 IM,3:20.99,2:51.19,2:39.59,3:25.39,2:55.69,2:37.19
400 IM,,6:16.39,5:37.39,,6:25.29,5:43.39
