THEREDDKING-2,,,,,,
A Motivational Times [AZ],A[AZ],2018,SCY,0,,
REGION,AZ,,,,,
3,0,10,11,12,13,14
0,-1,-2,-3,1,2,3
50 FR,32.69,28.09,26.59,33.09,29.29,25.59
100 FR,1:11.89,1:01.99,56.99,1:12.39,1:02.89,55.09
200 FR,2:37.09,2:12.09,2:03.39,2:37.59,2:17.89,1:59.89
500 Free,6:59.89,5:54.39,5:27.49,7:08.59,6:04.39,5:22.09
1000 Free,,12:35.09,11:36.59,,12:55.09,11:44.89
1650 Free,,21:53.99,19:40.09,,22:20.49,19:28.99
50 BK,38.29,33.09,,39.89,34.69,
100 BK,1:23.79,1:11.19,1:06.39,1:26.29,1:13.69,1:05.09
200 BK,,2:32.79,2:21.09,,2:44.59,2:19.99
50 BR,43.99,37.69,,45.89,38.99,
100 BR,1:35.19,1:21.79,1:14.69,1:37.49,1:24.89,1:12.69
200 BR,,2:51.99,2:40.99,,3:00.69,2:36.99
50 FL,37.09,31.69,,38.89,31.79,
100 FL,1:28.69,1:11.49,1:04.09,1:32.59,1:12.59,1:03.19
200 FL,,2:49.39,2:25.49,,2:45.49,2:25.99
100 IM,1:23.59,1:12.19,,1:25.29,1:14.79,
200 IM,2:58.19,2:31.29,2:19.89,3:02.09,2:35.39,2:17.49
400 IM,,5:33.69,4:58.19,,6:00.99,4:57.09
