THEREDDKING-2,,,,,,
B Motivational Times [AZ] till 2020,B[AZ],2018,LCM,0,,
REGION,AZ,,,,,
3,0,10,11,12,13,14
0,-1,-2,-3,1,2,3
50 FR,46.99,38.19,37.39,46.69,37.89,34.59
100 FR,1:46.39,1:25.49,1:20.89,1:44.29,1:23.99,1:15.19
200 FR,3:35.49,3:05.69,2:54.09,3:32.69,2:59.89,2:43.59
400 FR,7:04.69,6:12.19,6:07.59,6:40.89,6:11.99,5:47.69
800 FR,,11:56.29,12:37.69,,11:59.89,11:58.69
1500 FR,,22:40.49,24:02.49,,23:08.89,22:55.29
50 BK,58.49,46.99,,58.89,47.19,
100 BK,2:02.69,1:41.19,1:28.19,1:58.59,1:40.79,1:22.89
200 BK,,3:10.19,3:09.39,,3:11.99,2:58.29
50 BR,1:04.99,51.99,,1:05.19,53.19,
100 BR,2:14.89,1:52.29,1:41.69,2:15.19,1:54.59,1:33.69
200 BR,,3:37.29,3:39.39,,3:34.99,3:24.39
50 FL,57.69,43.59,,58.59,43.99,
100 FL,1:58.29,1:39.89,1:27.69,2:00.49,1:36.89,1:21.59
200 FL,,3:25.09,3:13.99,,3:47.99,3:00.69
200 IM,4:00.29,3:26.99,3:14.89,3:52.79,3:22.79,3:02.89
400 IM,,6:25.39,6:55.39,,6:44.79,6:29.39
