THEREDDKING-2,,,,,,
B Motivational Times [AZ] till 2020,B[AZ],2018,SCY,0,,
REGION,AZ,,,,,
3,0,10,11,12,13,14
0,-1,-2,-3,1,2,3
50 FR,39.09,34.09,32.89,38.49,33.09,30.39
100 FR,1:30.69,1:13.59,1:11.39,1:28.49,1:12.19,1:06.29
200 FR,3:20.19,2:41.19,2:33.89,3:09.09,2:37.19,2:24.49
500 Free,8:30.49,7:09.29,6:51.79,8:22.79,7:02.99,6:29.49
1000 Free,,14:48.09,14:08.89,,14:33.89,13:25.19
1650 Free,,25:01.49,23:34.19,,24:43.79,22:28.29
50 BK,48.59,38.79,,48.59,38.99,
100 BK,1:45.09,1:26.29,1:18.29,1:41.39,1:24.09,1:13.59
200 BK,,2:59.49,2:48.39,,2:55.29,2:38.39
50 BR,53.59,43.69,,53.19,43.79,
100 BR,1:58.79,1:35.79,1:29.79,1:53.69,1:33.59,1:22.59
200 BR,,3:25.79,3:13.99,,3:17.69,3:00.49
50 FL,47.99,37.29,,46.69,37.69,
100 FL,1:55.49,1:26.29,1:17.69,1:54.09,1:24.49,1:12.19
200 FL,,3:02.39,2:52.39,,2:58.09,2:40.39
100 IM,1:43.39,1:25.29,,1:40.39,1:23.19,
200 IM,3:40.39,3:02.49,2:53.19,3:38.89,3:00.99,2:41.89
400 IM,,6:28.49,6:08.49,,6:20.09,5:44.99
