THEREDDKING-2,,,,
2018 EasternZ Senior Zone Bonus,EZ SENIOR-B,2018,BOTH,0
ZONE,EZ,,,
1,0,18,,
-1_LCM,-1_SCY,0,1_SCY,1_LCM
29.39,25.79,50 Free,23.19,26.49
1:03.19,55.59,100 Free,50.49,57.39
2:15.69,1:59.59,200 Free,1:49.29,2:04.29
4:47.19,5:15.99,400/500 Free,4:54.59,4:27.69
9:42.59,10:43.79,800/1000 Free,10:04.49,9:07.89
18:36.29,18:00.99,1500/1650 Free,16:47.49,17:22.49
1:09.79,1:01.89,100 Back,56.39,1:03.69
2:30.79,2:13.89,200 Back,2:01.99,2:18.69
1:19.99,1:10.59,100 Breast,1:03.79,1:12.69
2:53.59,2:32.99,200 Breast,2:18.99,2:37.99
1:08.79,1:00.79,100 Fly,55.39,1:03.79
2:34.09,2:17.59,200 Fly,2:04.99,2:21.29
2:33.89,2:16.09,200 IM,2:04.19,2:20.69
5:22.79,4:45.59,400 IM,4:22.49,4:56.69
