THEREDDKING-2,,,,
2018 EasternZ Senior Zone,EZ SENIOR,2018,BOTH,0
ZONE,EZ,,,
1,0,18,,
-1_LCM,-1_SCY,0,1_SCY,1_LCM
28.69,25.09,50 Free,22.49,25.79
1:01.79,54.19,100 Free,49.29,55.99
2:12.89,1:56.79,200 Free,1:46.49,2:01.49
4:41.59,5:10.39,400/500 Free,4:48.99,4:20.89
9:42.59,10:43.79,800/1000 Free,10:04.49,9:07.89
18:36.29,18:00.99,1500/1650 Free,16:47.49,17:22.49
1:08.39,1:00.49,100 Back,54.99,1:02.29
2:27.99,2:11.09,200 Back,1:59.19,2:15.89
1:18.59,1:08.99,100 Breast,1:02.39,1:11.29
2:50.79,2:30.19,200 Breast,2:16.19,2:35.19
1:07.39,59.39,100 Fly,53.99,1:01.39
2:30.29,2:13.99,200 Fly,2:01.39,2:17.69
2:30.29,2:12.49,200 IM,2:00.59,2:17.09
5:17.19,4:39.99,400 IM,4:16.89,4:51.39
