THEREDDKING-2,,,,
2018 Futures,F,2018,BOTH,0
NATIONAL,,,,
1,0,18,,
-1_SCY,-1_LCM,0,1_LCM,1_SCY
24.39,27.49,50 Freestyle,24.89,21.49
52.19,59.59,100 Freestyle,53.79,46.69
1:52.99,2:08.19,200 Freestyle,1:58.09,1:42.09
5:03.49,4:28.79,400/500 Freestyle,4:09.99,4:37.09
10:20.49,9:13.79,800/1000 Freestyle,8:40.69,9:34.29
17:14.39,17:40.19,1650/1500 Freestyle,16:38.99,16:05.49
58.49,1:07.29,100 Backstroke,1:00.79,52.49
2:05.79,2:24.79,200 Backstroke,2:11.89,1:53.59
1:06.29,1:16.19,100 Breaststroke,1:08.69,58.89
2:23.09,2:43.79,200 Breaststroke,2:29.09,2:08.59
57.89,1:05.19,100 Butterfly,58.39,51.59
2:06.19,2:21.89,200 Butterfly,2:10.19,1:53.69
2:08.29,2:26.39,200 Individual Medley,2:12.79,1:55.09
4:30.69,5:07.29,400 Individual Medley,4:42.39,4:07.59
