THEREDDKING-2,,,,,,,,
2018 Phillips 66 Nationals Championships,NAT,2018,BOTH,0,,,,
NATIONAL,,,,,,,,
2,19,99,0,18,,,,
-1_SCY,-1_LCM,0,1_LCM,1_SCY,-2_SCY,-2_LCM,2_LCM,2_SCY
22.29,25.99,50 Freestyle,23.19,19.79,22.79,26.59,23.99,20.49
48.89,56.39,100 Freestyle,50.49,43.09,49.69,57.59,51.99,44.39
1:45.89,2:01.79,200 Freestyle,1:51.39,1:35.59,1:47.39,2:04.29,1:54.29,1:38.39
4:43.79,4:16.89,400/500 Freestyle,3:57.79,4:19.39,4:48.09,4:21.39,4:02.79,4:28.29
9:48.09,8:48.09,800/1000 Freestyle,8:12.99,9:04.99,9:56.79,8:58.69,8:23.09,9:13.19
16:18.09,16:49.19,1650/1500 Freestyle,15:44.89,15:10.09,16:32.59,17:11.29,16:05.09,15:34.19
53.29,1:02.99,100 Backstroke,56.79,46.79,54.49,1:04.39,58.79,49.69
1:55.39,2:15.59,200 Backstroke,2:03.29,1:44.79,1:57.69,2:18.29,2:06.99,1:47.99
1:00.69,1:10.99,100 Breaststroke,1:03.29,53.39,1:02.89,1:13.29,1:06.09,55.79
2:11.69,2:33.79,200 Breaststroke,2:18.09,1:58.29,2:15.49,2:38.29,2:23.29,2:01.19
52.99,1:00.89,100 Butterfly,54.49,47.29,53.99,1:02.39,56.49,48.99
1:57.79,2:14.59,200 Butterfly,2:01.69,1:45.09,1:59.39,2:16.99,2:05.09,1:47.89
1:58.29,2:17.99,200 Individual Medley,2:04.69,1:45.19,2:00.59,2:20.99,2:08.29,1:48.89
4:12.09,4:53.19,400 Individual Medley,4:26.89,3:46.99,4:15.19,4:57.29,4:33.09,3:52.69
