THEREDDKING-2,,,,
2018 Summer Junior Nationals Bonus,JN(S)-B,2018,BOTH,0
NATIONAL,,,,
1,0,18,,
-1_SCY,-1_LCM,0,1_LCM,1_SCY
23.49,26.99,50 Freestyle,24.39,20.99
50.99,58.39,100 Freestyle,52.89,45.79
1:49.79,2:05.39,200 Freestyle,1:56.29,1:40.29
4:52.09,4:23.79,400/500 Freestyle,4:06.29,4:32.69
10:03.59,9:03.49,800/1000 Freestyle,8:33.79,9:25.49
16:46.19,17:20.49,1650/1500 Freestyle,16:14.99,15:46.99
56.59,1:05.59,100 Backstroke,59.69,50.99
2:01.29,2:20.69,200 Backstroke,2:09.59,1:50.69
1:04.29,1:14.29,100 Breaststroke,1:07.59,57.69
2:19.79,2:40.09,200 Breaststroke,2:27.19,2:05.89
55.99,1:03.39,100 Butterfly,57.39,50.09
2:03.29,2:19.59,200 Butterfly,2:08.19,1:51.59
2:03.79,2:22.49,200 Individual Medley,2:10.49,1:52.49
4:23.69,5:01.89,400 Individual Medley,4:38.39,4:00.19
