THEREDDKING-2,,,,,,,,,,,,
2018 New England Age Group,NE AGE GROUP,2018,BOTH,0,,,,,,,,
REGION,NE,,,,,,,,,,,
3,11,12,13,14,0,10,,,,,,
0,-1_SCY,-1_LCM,1_LCM,1_SCY,-2_SCY,-2_LCM,2_LCM,2_SCY,-3_SCY,-3_LCM,3_LCM,3_SCY
50 FR,27.79,31.59,31.99,27.89,26.09,29.39,28.29,24.79,31.19,36.29,37.89,31.19
100 FR,1:00.09,1:09.49,1:10.79,1:00.69,56.69,1:04.29,1:00.99,53.19,1:09.99,1:19.39,1:21.89,1:09.99
200 FR,2:11.59,2:30.89,2:33.89,2:13.29,2:01.49,2:18.99,2:12.19,1:55.89,2:30.99,2:55.49,2:58.49,2:30.99
400/500 Freestyle,5:50.69,5:16.19,5:19.99,5:56.59,5:23.39,4:52.29,4:41.99,5:14.59,6:44.89,6:11.89,6:16.99,6:44.89
800/1000 Freestyle,11:59.99,10:42.99,10:59.99,12:14.99,11:15.69,9:59.49,9:49.79,10:57.69,,,,
1650/1500 Freestyle,20:32.99,21:24.99,22:06.39,21:00.09,18:54.49,19:20.99,18:49.99,18:21.79,,,,
50 BK,32.29,37.19,37.99,32.79,,,,,36.39,42.89,43.99,36.39
100 BK,1:08.49,1:20.69,1:21.59,1:10.79,1:03.29,1:12.99,1:10.99,1:00.39,1:18.79,1:32.19,1:34.89,1:18.79
200 BK,2:26.39,2:51.99,2:55.99,2:30.99,2:14.59,2:37.49,2:30.99,2:09.59,,,,
50 BR,36.99,42.09,43.39,37.09,,,,,42.89,48.69,49.99,42.89
100 BR,1:19.99,1:31.39,1:33.79,1:20.99,1:13.39,1:24.99,1:20.99,1:07.89,1:33.49,1:45.99,1:48.19,1:33.69
200 BR,2:50.59,3:17.29,3:20.89,2:53.39,2:38.99,3:03.29,2:55.59,2:28.29,,,,
50 FL,30.59,34.99,35.69,31.39,,,,,35.69,41.09,43.39,36.39
100 FL,1:08.39,1:17.99,1:19.69,1:11.49,1:02.49,1:11.29,1:07.99,59.99,1:23.39,1:36.29,1:39.29,1:23.39
200 FL,2:36.39,3:04.99,3:07.59,2:39.99,2:19.29,2:42.19,2:33.99,2:14.89,,,,
200 IM,2:27.79,2:48.49,2:52.99,2:29.99,2:16.59,2:37.99,2:32.49,2:11.09,2:49.69,3:16.29,3:20.89,2:49.69
400 IM,5:17.09,6:10.99,6:14.89,5:24.29,4:50.99,5:32.09,5:21.99,4:38.59,,,,
