THEREDDKING-2,,,,
2018 New England Seniors,NE SENIORS,2018,BOTH,0
REGION,NE,,,
1,13,18,,
0,-1_LCM,1_LCM,-1_SCY,1_SCY
50 FR,29.09,26.59,24.99,22.69
100 FR,1:02.19,57.49,54.39,49.39
200 FR,2:14.19,2:04.79,1:56.19,1:47.59
400/500 FR,4:43.19,4:27.99,5:10.99,4:50.99
800/1000 FR,9:44.99,9:17.99,10:45.99,10:07.99
1500/1650 FR,18:50.99,17:45.99,18:12.99,17:06.99
100 BK,1:10.69,1:05.99,1:00.09,54.99
200 BK,2:31.79,2:21.79,2:09.49,1:59.89
100 BR,1:21.79,1:14.99,1:09.59,1:02.59
200 BR,2:56.99,2:44.99,2:31.29,2:17.99
100 FLY,1:08.89,1:02.39,59.89,54.09
200 FLY,2:33.89,2:24.79,2:13.49,2:02.99
200 IM,2:33.39,2:23.89,2:12.09,2:01.99
400 IM,5:25.09,5:02.99,4:40.99,4:18.99
