THEREDDKING-2,,,,,,,,,,,,,,,,
2019 Wisconsin SC State Championships,WI STATE,2019,BOTH,0,,,,,,,,,,,,
REGION,WI,,,,,,,,,,,,,,,
4,0,10,11,12,13,14,15,18,,,,,,,,
-1_SCY,-2_SCY,-3_SCY,0,1_SCY,2_SCY,3_SCY,-1_LCM,-2_LCM,-3_LCM,1_LCM,2_LCM,3_LCM,-4_LCM,-4_SCY,4_SCY,4_LCM
32.09,28.49,25.89,50 Free,32.99,28.79,24.69,36.49,32.39,29.39,36.89,33.09,28.49,28.59,25.09,23.19,26.59
1:10.99,1:01.99,56.09,100 Free,1:12.99,1:02.99,53.89,1:20.39,1:10.19,1:03.89,1:23.69,1:12.19,1:01.89,1:01.99,54.39,50.39,58.09
2:35.59,2:14.99,2:02.79,200 Free,2:35.99,2:15.99,1:58.09,2:56.09,2:32.79,2:19.49,2:58.29,2:35.49,2:16.59,2:15.79,1:59.29,1:51.09,2:07.59
6:54.09,5:59.99,5:26.39,400/500 Free,7:01.49,6:00.99,5:19.49,6:12.39,5:23.79,4:51.79,6:18.09,5:23.79,4:51.49,4:46.39,5:18.59,4:58.69,4:30.19
,12:41.19,11:28.59,800/1000 Free,,12:58.29,11:17.99,,11:13.69,10:16.09,,11:38.09,10:11.99,9:57.79,11:14.99,10:40.99,9:36.99
,,19:16.29,1500/1650 Free,,,18:55.39,,,19:48.19,,,19:33.49,19:16.09,18:45.99,18:01.99,18:29.99
37.99,32.89,,50 Back,39.39,33.99,,43.69,37.89,,46.29,39.89,,,,,
1:21.79,1:10.99,1:03.49,100 Back,1:24.49,1:13.49,1:01.99,1:33.69,1:21.39,1:13.79,1:38.89,1:25.99,1:13.19,1:11.69,1:01.89,58.49,1:08.39
,2:31.39,2:18.39,200 Back,,2:34.69,2:12.79,,2:52.69,2:39.09,,2:58.09,2:34.59,2:35.79,2:15.49,2:06.49,2:27.09
43.49,37.59,,50 Breast,45.99,38.99,,49.59,42.89,,53.29,45.19,,,,,
1:34.49,1:20.99,1:12.99,100 Breast,1:37.99,1:23.19,1:10.29,1:47.39,1:32.09,1:23.79,1:53.19,1:36.09,1:22.39,1:21.69,1:11.99,1:05.09,1:16.59
,2:54.09,2:38.49,200 Breast,,3:02.59,2:34.19,,3:16.09,3:00.89,,3:30.39,3:00.19,2:54.79,2:34.89,2:24.89,2:47.89
37.59,31.39,,50 Fly,39.99,32.49,,43.09,35.99,,45.79,37.19,,,,,
1:26.49,1:11.49,1:03.49,100 Fly,1:29.99,1:14.09,1:01.29,1:37.59,1:20.59,1:11.59,1:42.49,1:24.49,1:09.99,1:09.49,1:01.29,56.29,1:03.79
,2:46.99,2:24.89,200 Fly,,2:49.09,2:17.99,,3:07.49,2:44.29,,3:13.09,2:39.19,2:38.29,2:19.49,2:08.39,2:26.29
1:21.29,1:11.49,,100 IM,1:23.49,1:12.99,,,,,,,,,,,
2:54.99,2:32.99,2:20.19,200 IM,2:58.19,2:36.19,2:14.29,3:19.59,2:54.49,2:40.19,3:25.59,3:00.19,2:35.89,2:35.59,2:15.99,2:05.09,2:24.59
,5:29.29,4:59.89,400 IM,,5:46.19,4:52.39,,6:15.99,5:41.59,,6:40.29,5:36.39,5:30.89,4:52.19,4:35.59,5:13.99
