THEREDDKING-2,,,,,,,,,,,,,,,,
2019 Wisconsin SC State Championships,WI STATE,2019,BOTH,0,,,,,,,,,,,,
REGION,WI,,,,,,,,,,,,,,,
4,0,10,11,12,13,14,15,18,,,,,,,,
-1_SCY,-2_SCY,-3_SCY,0,1_SCY,2_SCY,3_SCY,-1_LCM,-2_LCM,-3_LCM,1_LCM,2_LCM,3_LCM,-4_LCM,-4_SCY,4_SCY,4_LCM
32.09,28.49,25.89,50 Free,32.99,28.79,24.69,36.49,32.39,29.39,36.89,33.09,28.49,28.59,25.09,23.19,26.59
01:11.0,01:02.0,56.09,100 Free,01:13.0,01:03.0,53.89,01:20.4,01:10.2,01:03.9,01:23.7,01:12.2,01:01.9,01:02.0,54.39,50.39,58.09
02:35.6,02:15.0,02:02.8,200 Free,02:36.0,02:16.0,01:58.1,02:56.1,02:32.8,02:19.5,02:58.3,02:35.5,02:16.6,02:15.8,01:59.3,01:51.1,02:07.6
06:54.1,06:00.0,05:26.4,400/500 Free,07:01.5,06:01.0,05:19.5,06:12.4,05:23.8,04:51.8,06:18.1,05:23.8,04:51.5,04:46.4,05:18.6,04:58.7,04:30.2
,12:41.2,11:28.6,800/1000 Free,,12:58.3,11:18.0,,11:13.7,10:16.1,,11:38.1,10:12.0,09:57.8,11:15.0,10:41.0,09:37.0
,,19:16.3,1500/1650 Free,,,18:55.4,,,19:48.2,,,19:33.5,19:16.1,18:46.0,18:02.0,18:30.0
37.99,32.89,,50 Back,39.39,33.99,,43.69,37.89,,46.29,39.89,,,,,
01:21.8,01:11.0,01:03.5,100 Back,01:24.5,01:13.5,01:02.0,01:33.7,01:21.4,01:13.8,01:38.9,01:26.0,01:13.2,01:11.7,01:01.9,58.49,01:08.4
,02:31.4,02:18.4,200 Back,,02:34.7,02:12.8,,02:52.7,02:39.1,,02:58.1,02:34.6,02:35.8,02:15.5,02:06.5,02:27.1
43.49,37.59,,50 Breast,45.99,38.99,,49.59,42.89,,53.29,45.19,,,,,
01:34.5,01:21.0,01:13.0,100 Breast,01:38.0,01:23.2,01:10.3,01:47.4,01:32.1,01:23.8,01:53.2,01:36.1,01:22.4,01:21.7,01:12.0,01:05.1,01:16.6
,02:54.1,02:38.5,200 Breast,,03:02.6,02:34.2,,03:16.1,03:00.9,,03:30.4,03:00.2,02:54.8,02:34.9,02:24.9,02:47.9
37.59,31.39,,50 Fly,39.99,32.49,,43.09,35.99,,45.79,37.19,,,,,
01:26.5,01:11.5,01:03.5,100 Fly,01:30.0,01:14.1,01:01.3,01:37.6,01:20.6,01:11.6,01:42.5,01:24.5,01:10.0,01:09.5,01:01.3,56.29,01:03.8
,02:47.0,02:24.9,200 Fly,,02:49.1,02:18.0,,03:07.5,02:44.3,,03:13.1,02:39.2,02:38.3,02:19.5,02:08.4,02:26.3
01:21.3,01:11.5,,100 IM,01:23.5,01:13.0,,,,,,,,,,,
02:55.0,02:33.0,02:20.2,200 IM,02:58.2,02:36.2,02:14.3,03:19.6,02:54.5,02:40.2,03:25.6,03:00.2,02:35.9,02:35.6,02:16.0,02:05.1,02:24.6
,05:29.3,04:59.9,400 IM,,05:46.2,04:52.4,,06:16.0,05:41.6,,06:40.3,05:36.4,05:30.9,04:52.2,04:35.6,05:14.0
