THEREDDKING-2,,,,
2019 Summer Junior Nationals,JN(S),2019,BOTH,0
NATIONAL,,,,
1,0,18,,
-1_SCY,-1_LCM,0,1_LCM,1_SCY
22.79,26.59,50 Freestyle,23.99,20.49
49.69,57.59,100 Freestyle,51.99,44.39
1:47.39,2:04.29,200 Freestyle,1:54.29,1:38.39
4:48.09,4:21.39,400/500 Freestyle,4:02.79,4:28.29
9:56.79,8:58.69,800/1000 Freestyle,8:23.09,9:13.19
16:32.59,17:11.29,1650/1500 Freestyle,16:05.09,15:34.19
54.49,1:04.39,100 Backstroke,58.79,49.69
1:57.69,2:18.29,200 Backstroke,2:06.99,1:47.99
1:02.89,1:13.29,100 Breaststroke,1:06.09,55.79
2:15.49,2:38.29,200 Breaststroke,2:23.29,2:01.19
53.99,1:02.39,100 Butterfly,56.49,48.99
1:59.39,2:16.99,200 Butterfly,2:05.09,1:47.89
2:00.59,2:20.99,200 Individual Medley,2:08.29,1:48.89
4:15.19,4:57.29,400 Individual Medley,4:33.09,3:52.69
