THEREDDKING-2,,,,,,,,,,,,
2019 TAGS BONUS,TAGS-B,2019,BOTH,0,,,,,,,,
REGION,"ST,NT,WT,GU",,,,,,,,,,,
3,0,10,11,12,13,14,,,,,,
-1_SCY,-2_SCY,-3_SCY,0,1_SCY,2_SCY,3_SCY,-1_LCM,-2_LCM,-3_LCM,1_LCM,2_LCM,3_LCM
29.49,26.59,25.29,50 Free,29.29,25.99,23.39,33.29,29.99,28.59,32.79,28.99,26.79
1:04.99,57.59,54.59,100 Free,1:04.29,56.29,50.89,1:13.19,1:05.11,1:01.29,1:11.59,1:03.49,57.79
2:20.09,2:04.59,1:57.59,200 Free,2:20.09,2:03.09,1:49.99,2:37.49,2:20.69,2:14.29,2:36.59,2:17.19,2:06.19
6:15.79,5:26.99,5:16.49,400/500 Free,6:11.69,5:25.89,4:55.59,5:33.19,4:57.69,4:42.49,5:21.99,4:52.39,4:26.99
,,10:50.19,800/1000 Free,,,10:15.69,,,9:42.39,,,9:13.49
,,18:19.09,1500/1650 Free,,,17:17.69,,,18:45.49,,,17:47.69
33.99,30.29,,50 Back,34.79,30.09,,38.99,34.89,,39.39,33.69,
1:13.49,1:04.59,1:00.59,100 Back,1:13.59,1:04.09,56.99,1:23.79,1:14.19,1:10.69,1:24.19,1:13.19,1:05.99
,2:18.69,2:11.59,200 Back,,2:17.69,2:03.39,,2:38.29,2:31.99,,2:37.69,2:22.39
38.79,33.99,,50 Breast,39.09,33.19,,44.49,38.89,,44.39,37.99,
1:24.19,1:13.69,1:09.59,100 Breast,1:24.89,1:11.69,1:04.09,1:37.89,1:24.69,1:19.79,1:37.69,1:22.19,1:14.09
,2:40.29,2:32.29,200 Breast,,2:35.49,2:18.29,,3:04.19,2:55.09,,2:58.09,2:41.49
32.49,28.89,,50 Fly,32.59,28.39,,36.29,32.29,,36.69,31.69,
1:14.69,1:03.79,1:00.29,100 Fly,1:13.89,1:03.09,55.59,1:24.09,1:12.19,1:07.79,1:23.39,1:10.99,1:02.89
,2:24.99,2:14.89,200 Fly,,2:23.69,2:03.69,,2:44.39,2:30.39,,2:40.89,2:21.79
1:14.09,1:05.49,,100 IM,1:14.29,1:04.69,,,,,,,
2:38.79,2:21.39,2:14.39,200 IM,2:38.09,2:18.59,2:04.59,2:59.89,2:39.19,2:31.59,2:56.99,2:37.79,2:21.59
,,4:45.19,400 IM,,,4:24.79,,,5:22.79,,,5:02.79
