THEREDDKING-2,,,,,,,,,,,,
2019 TAGS,TAGS,2019,BOTH,0,,,,,,,,
REGION,"ST,NT,WT,GU",,,,,,,,,,,
3,0,10,11,12,13,14,,,,,,
-1_SCY,-2_SCY,-3_SCY,0,1_SCY,2_SCY,3_SCY,-1_LCM,-2_LCM,-3_LCM,1_LCM,2_LCM,3_LCM
29.29,26.39,25.09,50 Free,29.09,25.79,23.19,33.09,29.79,28.39,32.59,28.79,26.59
1:04.59,57.29,54.29,100 Free,1:03.89,55.99,50.59,1:12.59,1:04.79,1:00.99,1:11.19,1:03.09,57.49
2:19.39,2:03.89,1:57.19,200 Free,2:19.39,2:02.39,1:49.39,2:36.69,2:19.99,2:13.59,2:35.79,2:16.49,2:05.49
6:13.89,5:25.29,5:14.89,400/500 Free,6:09.79,5:24.19,4:54.09,5:31.49,4:56.19,4:41.09,5:20.39,4:50.89,4:25.59
,,10:46.89,800/1000 Free,,,10:12.59,,,9:39.49,,,9:10.69
,,18:13.59,1500/1650 Free,,,17:12.49,,,18:39.89,,,17:42.29
33.79,30.09,,50 Back,34.59,29.89,,38.79,34.69,,39.19,33.49,
1:13.09,1:04.19,1:00.29,100 Back,1:13.19,1:03.69,56.69,1:23.29,1:13.79,1:10.29,1:23.69,1:12.79,1:05.59
,2:17.99,2:10.59,200 Back,,2:16.99,2:02.69,,2:37.49,2:30.69,,2:36.89,2:21.69
38.59,33.79,,50 Breast,38.89,32.99,,44.19,38.69,,44.09,37.79,
1:23.69,1:13.29,1:09.19,100 Breast,1:24.39,1:11.29,1:03.69,1:37.39,1:24.19,1:19.39,1:37.19,1:21.79,1:13.69
,2:39.49,2:30.69,200 Breast,,2:34.69,2:17.59,,3:03.19,2:54.19,,2:57.19,2:40.69
32.29,28.69,,50 Fly,32.39,28.19,,36.09,32.09,,36.49,31.49,
1:14.29,1:03.39,59.99,100 Fly,1:13.49,1:02.69,55.29,1:23.59,1:11.79,1:07.49,1:22.89,1:10.59,1:02.49
,2:23.19,2:14.39,200 Fly,,2:22.89,2:02.99,,2:43.69,2:29.59,,2:40.09,2:21.09
1:13.69,1:05.19,,100 IM,1:13.89,1:04.29,,,,,,,
2:37.99,2:20.69,2:13.69,200 IM,2:37.29,2:17.89,2:03.89,2:58.99,2:38.39,2:30.79,2:56.09,2:36.99,2:20.89
,,4:42.89,400 IM,,,4:23.39,,,5:21.19,,,5:01.29
